OBJECTID,HUC_12,pCanopy
205,010100080102,77.574651208281125
206,010100080401,70.097850862911102
207,010100080403,70.229132175650747
208,010100080404,70.918870782836549
209,010100080405,72.200983116792884
210,010100080406,71.995594656409196
211,010100080407,75.416953416288578
212,010100080408,77.888959698956057
213,010100080503,72.115422594051452
214,010100080504,61.015616319980246
215,010100081107,53.009964352401973
216,010100081108,51.963496126865920
217,010100090601,52.696127034618115
218,010100090603,62.348858628426392
219,010100090604,40.895497713682730
220,010100090605,52.696218507989414
221,010100090607,51.394926370844814
222,010100090608,52.794965701662598
223,010100100101,50.388354880569040
224,010100100102,49.796934061318773
225,010100100201,26.258516008149975
226,010100100202,48.759106179374939
227,010100100203,39.633070423665885
228,010100100204,58.492544781346943
229,010100100205,55.490041578745874
230,010100100206,34.916812123950137
231,010100100207,50.986707178123815
232,010100110103,61.293276743513069
233,010200010101,64.560711005663549
234,010200010102,61.050313124066932
235,010200010103,67.822507433194460
236,010200010104,69.929152807501566
237,010200010105,70.041362308254193
238,010200010106,69.868617044175622
239,010200010201,75.456689110211656
240,010200010202,75.724570919087597
241,010200010203,72.796885439687514
242,010200010204,75.267405403743894
243,010200010205,78.081012130993912
244,010200010206,73.583248730964470
245,010200010207,69.135349102239246
246,010200010208,75.211496105291431
247,010200010209,75.190932647534439
248,010200010210,71.517761549766604
249,010200010301,73.584433419525652
250,010200010302,71.261271552694367
251,010200010303,79.022162304353543
252,010200010304,73.682881703290448
253,010200010305,72.969858820906268
254,010200010306,67.606454064667318
255,010200010307,69.553682851031198
256,010200010308,69.784634252545715
257,010200010401,70.512692368713317
258,010200010402,63.090577051367582
259,010200010403,75.580179040160061
260,010200010404,71.094552582813918
261,010200010501,67.062916452085730
262,010200010502,69.894179353066647
263,010200010503,71.361683859644685
264,010200010504,74.888782105187289
265,010200010505,69.441795007435942
266,010200010506,73.853100660554077
267,010200010507,76.389488304682146
268,010200010508,71.647397397397398
269,010200010509,70.659144537602103
270,010200010601,76.718638098033466
271,010200010602,80.245193476835098
272,010200010701,78.890223142397062
273,010200010702,76.594078045694829
274,010200010703,80.284268592745462
275,010200010704,79.906008029825060
276,010200010801,76.336769271990789
277,010200010802,76.024952728255002
278,010200010803,78.417015731173791
279,010200010804,77.221785246097014
280,010200010805,70.682400325836085
281,010200010901,77.772089332275257
282,010200010902,76.940031783154922
283,010200010903,78.992538735077474
284,010200010904,75.776968909722413
285,010200010905,71.899790104947527
286,010200010906,76.761791044776118
287,010200010907,74.671361888507334
288,010200011001,78.558557760453581
289,010200011002,74.398831731377257
290,010200011003,73.549463786786234
291,010200011004,71.700639014755438
292,010200011005,66.342086726560467
293,010200011006,73.869898567471893
294,010200011007,69.550198751764611
295,010200020101,78.470753505946178
296,010200020102,77.396137202913550
297,010200020103,70.529108153812217
298,010200020104,67.236170896241575
299,010200020105,74.800044911573494
300,010200020106,73.750031093753890
301,010200020107,77.166087319243601
302,010200020108,78.144462279293734
