OBJECTID,HUC_12,HUC12_Pop
529,010300010607,27.867649333399999
530,010300010608,1.327720216160000
531,010300010609,1.924177471290000
532,010300010610,12.392420095500000
533,010300020101,13.159463107600001
534,010300020102,3.241440993270000
535,010300020103,1.043410956020000
536,010300020104,1.372144080720000
537,010300020105,0.000000000000000
538,010300020106,74.175058882100004
539,010300020201,1.744626925760000
540,010300020202,64.272011371999994
541,010300020203,32.860428028800001
542,010300020204,69.012640623799996
543,010300020301,260.657180464000021
544,010300020302,1.264797898050000
545,010300020303,488.538998084000013
546,010300020304,18.593048324000002
547,010300020401,0.083118881701000
548,010300020402,0.000000000000000
549,010300020403,0.126535471501000
550,010300020404,3.737973627390000
551,010300020405,2.973590524930000
552,010300020406,0.000000000000000
553,010300020501,1.639327255850000
554,010300020502,5.083737740730000
555,010300020503,2.132076779150000
556,010300020504,3.359183011590000
557,010300020505,6.392486541610000
558,010300020506,52.045706095100002
559,010300030101,19.272977404199999
560,010300030102,0.700804827749000
561,010300030103,40.369763998600000
562,010300030104,0.452248988600000
563,010300030105,71.836276482399995
564,010300030106,98.977798229000001
565,010300030201,0.000000000000000
566,010300030202,3.539422052620000
567,010300030203,511.478734147000011
568,010300030301,1059.805664859999979
569,010300030302,294.523553520999997
570,010300030303,146.537154882999999
571,010300030304,920.571854449000057
572,010300030401,511.043787692000024
573,010300030402,470.104930471999978
574,010300030501,10.365324077000000
575,010300030502,202.225892670000007
576,010300030503,564.460293703000048
577,010300030601,666.486080591000018
578,010300030602,624.542999742000006
579,010300030701,4.358961699190000
580,010300030702,147.610726938999989
581,010300030703,342.945878486000026
582,010300030801,211.893480638000000
583,010300030802,185.098195097999991
584,010300030803,553.189274619000003
585,010300030804,681.825840921000008
586,010300030901,38.629564912600003
587,010300030902,136.789673412000013
588,010300030903,133.869604858000002
589,010300030904,590.063703279000038
590,010300030905,859.116139406999991
591,010300031001,810.738808084999960
592,010300031002,848.647497506000036
593,010300031003,1161.904236710000077
594,010300031004,6374.515320499999689
595,010300031101,794.337692501999982
596,010300031102,1527.518047060000072
597,010300031103,4125.276594339999974
598,010300031201,443.299380412999994
599,010300031202,818.507665480000014
600,010300031203,352.028956976000018
601,010300031204,741.447183388999974
602,010300031205,276.691600612000002
603,010300031206,1989.761898149999979
604,010300031301,3906.064788549999776
605,010300031302,5923.223737299999812
606,010300031401,354.524773515999982
607,010300031402,197.122944111000010
608,010300031403,834.710323224000035
609,010300031404,2602.427873139999974
610,010300031405,1259.650238389999913
611,010300031501,3527.214719430000059
612,010300031502,927.076669639999977
613,010300031503,357.936302173999991
614,010300031504,425.064165238999976
615,010300031505,1697.355344210000112
616,010300031506,2616.014404800000193
617,010300031507,11761.998461900000621
618,010300031601,491.411414552999986
619,010300031602,819.366720635999968
620,010300031603,262.341148910000015
621,010300031604,919.024186794999991
622,010300031605,871.739103133999947
623,010300031606,876.368406174000029
624,010300031701,2238.304805270000088
625,010300031702,4026.931359239999892
626,010300031801,1121.032384229999934
627,010300031802,2616.326023380000152
628,010300031803,752.368999325999994
629,010300031804,665.327317976000018
630,010300031805,1086.319664379999949
631,010300031806,2517.919055580000077
632,010300031901,2108.342693120000149
633,010300031902,803.395654906999994
634,010300031903,2204.633929650000027
635,010300031904,2264.140933810000206
636,010300032001,393.063602953999975
637,010300032002,1745.334277700000030
638,010300032003,1307.235734979999961
639,010300032004,1655.788875790000020
640,010300032005,401.141359134000027
641,010300032101,2627.221763989999999
642,010300032102,1597.454847449999988
643,010300032103,1501.782409700000017
644,010300032104,2858.064615719999892
645,010300032105,2512.953305099999852
646,010300032106,6513.627542520000134
647,010300032201,1013.445123490000014
648,010300032202,2668.712967060000210
649,010300032203,1518.638878210000030
650,010300032204,4646.681082840000272
651,010300032205,14191.917287899999792
652,010300032301,3805.582668550000108
653,010300032302,1122.376032639999949
654,010300032303,5704.879000400000223
655,010300032304,1469.703849929999933
656,010300032305,2986.094259739999870
657,010300032306,2004.847861620000003
658,010300032307,1761.033971419999943
659,010300032308,2300.818164759999945
660,010300032309,5148.754736330000014
661,010300032401,1179.838483389999965
662,010300032402,1291.055167579999988
663,010300032403,1414.361636990000079
664,010300032404,12672.993377999999211
665,010300032405,5802.063969560000260
666,010300032406,1036.665746339999941
667,010300032407,3064.984881500000029
668,010300032408,2601.114731480000046
669,010300032409,19235.855522699999710
670,010400010101,2.640491116130000
671,010400010102,0.000000000000000
672,010400010103,0.869404723649000
673,010400010104,3.340533517690000
674,010400010105,56.394919555599998
675,010400010106,7.095139769030000
676,010400010107,1455.890801819999979
677,010400010108,0.381745506173000
678,010400010109,192.464939195999989
679,010400010110,5.755547023480000
680,010400010201,49.078936173800003
681,010400010202,7.943870449730000
682,010400010203,77.393960734199993
683,010400010301,0.000000000000000
684,010400010302,0.000000000000000
685,010400010303,0.000000000000000
686,010400010304,1.330229453740000
687,010400010305,4.462461469560000
688,010400010306,46.117397762499998
689,010400010401,0.000000000000000
690,010400010402,0.000000000000000
691,010400010403,15.423432411200000
692,010400010404,1.307547135960000
693,010400010405,0.000000000000000
694,010400010406,69.986159070599996
695,010400010501,4.906688751650000
696,010400010502,187.947368051000012
697,010400010601,56.682671709499999
698,010400010602,56.363208350999997
699,010400010603,89.999226035199996
700,010400010604,339.834207559999982
701,010400010605,120.981489848999999
702,010400010606,5720.305592429999706
703,010400010607,5230.334388209999815
704,010400020101,1320.420851039999889
705,010400020102,1329.859509789999947
706,010400020103,379.254294608000009
707,010400020201,34.172635181099999
708,010400020202,235.170324026999992
709,010400020203,930.415038814000013
710,010400020204,1416.282518680000067
711,010400020205,172.646921063000008
712,010400020206,174.093453401000005
713,010400020207,898.491508779000014
714,010400020301,104.560562000000004
715,010400020302,52.053390330799999
716,010400020303,387.844361369000012
717,010400020304,291.553155226999991
718,010400020305,377.488127221000013
719,010400020401,537.712503869999978
720,010400020402,21.617536017300001
721,010400020403,7.630109838840000
722,010400020404,198.672712480000001
723,010400020405,2640.125382759999866
724,010400020406,5666.558966300000066
725,010400020501,449.885379802999978
726,010400020502,1548.603021670000089
727,010400020503,752.394178365000016
