OBJECTID,HUC_12,PIMPV
569,010300030302,0.613333620959305
570,010300030303,0.475661172863166
571,010300030304,1.583198906778180
572,010300030401,1.165262400031130
573,010300030402,0.674197081581458
574,010300030501,0.025192143467122
575,010300030502,0.545476127670799
576,010300030503,0.775007541745781
577,010300030601,0.778728964147591
578,010300030602,0.959585492227979
579,010300030701,0.219130677009118
580,010300030702,0.371609594846584
581,010300030703,0.639503412567663
582,010300030801,0.429809634016291
583,010300030802,0.414849411037467
584,010300030803,1.271227909212050
585,010300030804,1.962646744930630
586,010300030901,0.108076910392137
587,010300030902,0.492282582032945
588,010300030903,0.182002051883336
589,010300030904,0.962135016221501
590,010300030905,0.879630010954707
591,010300031001,0.835542949908101
592,010300031002,1.017404464623530
593,010300031003,0.718426414063977
594,010300031004,2.782579766167110
595,010300031101,0.796775178972254
596,010300031102,0.823326114419780
597,010300031103,2.376847597603840
598,010300031201,0.582867658231054
599,010300031202,0.841270447943740
600,010300031203,1.136466322688610
601,010300031204,0.550710961263605
602,010300031205,0.772349025202092
603,010300031206,1.097276775519520
604,010300031301,4.466858103375820
605,010300031302,3.516481703857170
606,010300031401,0.605789146644573
607,010300031402,0.784894408499428
608,010300031403,1.721556224011320
609,010300031404,2.205711446655000
610,010300031405,1.482176753014740
611,010300031501,6.057825339193580
612,010300031502,0.831064144172669
613,010300031503,0.807299503761806
614,010300031504,0.871695855542260
615,010300031505,2.103196893656860
616,010300031506,1.019885819885820
617,010300031507,10.763718253471801
618,010300031601,0.652095739478151
619,010300031602,0.722709713890895
620,010300031603,0.545218630211337
621,010300031604,0.581143119476644
622,010300031605,0.709371723802411
623,010300031606,0.744240248009456
624,010300031701,1.501333161707920
625,010300031702,2.342616682717880
626,010300031801,2.487469458987780
627,010300031802,3.189572103229500
628,010300031803,2.248526404426800
629,010300031804,1.506751026223840
630,010300031805,0.767596710477279
631,010300031806,3.703048115980320
632,010300031901,0.980439657963854
633,010300031902,2.214598158908400
634,010300031903,3.456930311561270
635,010300031904,2.271767981891910
636,010300032001,0.442405094213638
637,010300032002,1.378106042430680
638,010300032003,1.297240914587430
639,010300032004,1.361177564430700
640,010300032005,0.709266745583276
641,010300032101,1.069560398396970
642,010300032102,2.513978841960750
643,010300032103,1.166110633586340
644,010300032104,2.334677673451380
645,010300032105,2.892134133719730
646,010300032106,2.607388387842220
647,010300032201,1.241854443451190
648,010300032202,1.711378336847370
649,010300032203,0.869541611036938
650,010300032204,2.102599004316630
651,010300032205,9.505868966343280
652,010300032301,2.261452486580550
653,010300032302,1.470065956367330
654,010300032303,3.362335633515760
655,010300032304,1.982213843694930
656,010300032305,3.096817809601800
657,010300032306,2.246439458297940
658,010300032307,3.307746744668810
659,010300032308,1.857282139375090
660,010300032309,4.262131026290430
661,010300032401,2.107920740855710
662,010300032402,1.565871170215170
663,010300032403,1.750896227309800
664,010300032404,5.848487071785370
665,010300032405,12.891408485244799
666,010300032406,1.326819874181540
